t,u1,u2,u3
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000056e-01,5.574699999999999794e-02,3.357189999999999896e-01,6.065310000000000423e-01
2.000000000000000111e-01,1.668499999999999983e-01,4.523300000000000098e-01,3.678790000000000115e-01
2.999999999999999889e-01,2.827669999999999906e-01,4.585989999999999789e-01,2.231299999999999950e-01
4.000000000000000222e-01,3.811249999999999916e-01,4.146469999999999878e-01,1.353350000000000108e-01
5.000000000000000000e-01,4.544159999999999866e-01,3.526130000000000098e-01,8.208500000000000518e-02
5.999999999999999778e-01,5.025020000000000042e-01,2.887799999999999812e-01,4.978699999999999792e-02
6.999999999999999556e-01,5.285060000000000313e-01,2.306479999999999919e-01,3.019700000000000162e-02
8.000000000000000444e-01,5.366410000000000347e-01,1.810060000000000002e-01,1.831599999999999895e-02
9.000000000000000222e-01,5.311270000000000158e-01,1.402410000000000045e-01,1.110900000000000082e-02
1.000000000000000000e+00,5.157059999999999977e-01,1.076229999999999964e-01,6.738000000000000066e-03
